C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2026/07/08,18:11:00,001783498260880,MONTHLY_ARCHIVE,001783498260880
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2026/06/01 00:25:00",1,NSW1,20260531245,0,64.48257,0,64.48257,0,0,"2026/06/01 00:20:01",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,64.48257,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.37,195507.81076,509.32654,323.99987,94.8302,10368.49155,18.93,78.6095,16.94938,3975.78145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:25:00",1,QLD1,20260531245,0,68.71,0,68.71,0,0,"2026/06/01 00:20:01",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,68.71,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.37,182310.49374,127.99699,102.6818,52.7002,10326.36155,1624.82433,1681.36994,348.99955,4307.83162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:25:00",1,SA1,20260531245,0,54.01643,0,54.01643,0,0,"2026/06/01 00:20:01",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,54.01643,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.37,205813.45228,509.32654,323.99987,94.8302,10368.49155,18.93,78.6095,16.94938,3975.78145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:25:00",1,TAS1,20260531245,0,80.02,0,80.02,0,0,"2026/06/01 00:20:01",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,5.44,5.44,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.03,3.03,0,FIRM,80.02,0.38,0.38,0.38,5.44,0.38,0.38,0,3.03,201367.00231,13086.80798,902.14391,541.10322,13040.61293,2993.2206,827.57294,449.97238,4665.67168,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,23.16,0.04
D,DISPATCH,PRICE,5,"2026/06/01 00:25:00",1,VIC1,20260531245,0,56.40031,0,56.40031,0,0,"2026/06/01 00:20:01",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,56.40031,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.37,162763.37421,509.32654,323.99987,94.8302,10368.49155,18.93,78.6095,16.94938,3975.78145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:30:00",1,NSW1,20260531246,0,56.03,0,56.03,0,0,"2026/06/01 00:25:02",0.09,0.09,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,56.03,0.09,0.04,0.02,3.46,0.01,0.03,0.01,0.37,195467.83076,509.24654,323.93987,94.8202,10366.95155,18.92,78.6095,16.94938,3975.43145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.46,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:30:00",1,QLD1,20260531246,0,66.83004,0,66.83004,0,0,"2026/06/01 00:25:02",0.09,0.09,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,66.83004,0.09,0.04,0.02,3.46,0.01,0.03,0.01,0.37,182281.34196,127.91699,102.6218,52.6902,10324.82155,1624.81433,1681.36994,348.99955,4307.48162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.46,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:30:00",1,SA1,20260531246,0,46.12026,0,46.12026,0,0,"2026/06/01 00:25:02",0.09,0.09,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.37,0.37,0,FIRM,46.12026,0.09,0.04,0.02,3.46,0.01,0.03,0.01,0.37,205783.86017,509.24654,323.93987,94.8202,10366.95155,18.92,78.6095,16.94938,3975.43145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.46,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:35:00",1,QLD1,20260531247,0,72.5,0,72.5,0,0,"2026/06/01 00:30:03",0.04,0.04,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,1,1,0,FIRM,72.5,0.04,0.04,0.02,3.46,0.01,0.03,0.01,1,182261.11196,127.66699,102.5618,52.6802,10323.30155,1624.80433,1681.36994,348.99955,4307.76162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.4,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:30:00",1,TAS1,20260531246,0,87.04,0,87.04,0,0,"2026/06/01 00:25:02",19.58,19.58,0,0.38,0.38,0,0.38,0.38,0,6.44,6.44,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.03,3.03,0,FIRM,87.04,19.58,0.38,0.38,6.44,0.38,0.38,0,3.03,201366.91231,13106.00798,902.14391,541.10322,13041.48293,2990.6006,827.57294,449.59238,4666.46868,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,23.16,0.04
